,s_name,en_name,lon,lat
0,Sapindus,Soapberry,-97.757248,30.228193
1,Allium,Onion,-97.75864399999999,30.327973999999998
2,Allium,Onion,-97.71364688873291,30.2493918805048
3,Allium,Onion,-97.7572193741798,30.446911699855498
4,Allium,Onion,-97.7633535861969,30.2880133372822
5,Allium,Onion,-97.721793,30.18869
6,Chenopodium berlandieri,Lamb's quarters,-97.770798,30.274878
7,Ficus carica,Common fig,-97.749771,30.30827
8,Ficus carica,Common fig,-97.7489957213402,30.2476888694808
9,Ficus carica,Common fig,-97.74991303682329,30.2731012142268
10,Ficus carica,Common fig,-97.73619000000001,30.31745
11,Ficus carica,Common fig,-97.6718520333515,30.3803245296153
12,Ficus carica,Common fig,-97.6776528476074,30.2729784810004
13,Ficus carica,Common fig,-97.74072185993971,30.2884568388609
14,Ficus carica,Common fig,-97.705388,30.294825
15,Ficus carica,Common fig,-97.747714,30.374603999999998
16,Ficus carica,Common fig,-97.757292,30.361052
17,Ficus carica,Common fig,-97.70563700849979,30.2947859269642
18,Ficus carica,Common fig,-97.70563700849979,30.2947859269642
19,Ficus carica,Common fig,-97.70563700849979,30.2947859269642
20,Ficus carica,Common fig,-97.73384825149259,30.2874690889196
21,Ficus carica,Common fig,-97.7338498656414,30.2874061614249
22,Ficus carica,Common fig,-97.7338498656414,30.2874061614249
23,Ficus carica,Common fig,-97.7618945423279,30.236695248097
24,Salix nigra,Black willow,-97.751396,30.268471
25,Salix nigra,Black willow,-97.74482852262709,30.245814056175604
26,Salix nigra,Black willow,-97.74455918218229,30.2448362046697
27,Salix nigra,Black willow,-97.74491809792059,30.2443395405959
28,Salix nigra,Black willow,-97.67458693092921,30.313852413130103
29,Salix nigra,Black willow,-97.72614444189341,30.299604105673698
30,Salix nigra,Black willow,-97.72650225787771,30.299031360854897
31,Salix nigra,Black willow,-97.7446612359437,30.244765740577698
32,Salix nigra,Black willow,-97.6901111099893,30.2773300035367
33,Salix nigra,Black willow,-97.7353751346038,30.274264938281103
34,Salix nigra,Black willow,-97.7409524232908,30.2953548621878
35,Salix nigra,Black willow,-97.7512303990082,30.263362056803103
36,Salix nigra,Black willow,-97.7374698338558,30.262901407810197
37,Salix nigra,Black willow,-97.735369198706,30.274285363383196
38,Salix nigra,Black willow,-97.7353068270163,30.2728492976406
39,Salix nigra,Black willow,-97.735564382452,30.251093050185105
40,Salix nigra,Black willow,-97.67475813216429,30.31394845899
41,Salix nigra,Black willow,-97.75126687276442,30.2633701350847
42,Salix nigra,Black willow,-97.7396068019664,30.295041519370002
43,Salix nigra,Black willow,-97.7410000099724,30.295362618428197
44,Salix nigra,Black willow,-97.74747311263408,30.2401174258342
45,Salix nigra,Black willow,-97.74067199576191,30.295300454281396
46,Salix nigra,Black willow,-97.7184443063562,30.250784739691895
47,Salix nigra,Black willow,-97.72596099161909,30.306838714762897
48,Salix nigra,Black willow,-97.72734133912772,30.307771455829702
49,Salix nigra,Black willow,-97.72545973495899,30.299936639261897
50,Salix nigra,Black willow,-97.7266783008128,30.298695520079498
51,Salix nigra,Black willow,-97.7308852113764,30.205756276233398
52,Salix nigra,Black willow,-97.67386504514799,30.313576206512998
53,Salix nigra,Black willow,-97.7265687183154,30.2990362605628
54,Salix nigra,Black willow,-97.728086496312,30.2087060887335
55,Salix nigra,Black willow,-97.74069362527719,30.2953200061513
56,Salix nigra,Black willow,-97.7565386761845,30.360035426223302
57,Salix nigra,Black willow,-97.7262097347533,30.299395252087496
58,Salix nigra,Black willow,-97.72709593056321,30.307420498673896
59,Salix nigra,Black willow,-97.7273151964493,30.3077817326509
60,Salix nigra,Black willow,-97.7354327734544,30.273921131196698
61,Salix nigra,Black willow,-97.7520699977781,30.2635476522118
62,Salix nigra,Black willow,-97.71615625106409,30.303409848232697
63,Salix nigra,Black willow,-97.7411302120556,30.295281118260103
64,Salix nigra,Black willow,-97.7490236090839,30.2625153188271
65,Salix nigra,Black willow,-97.72725856613121,30.3076098113648
66,Salix nigra,Black willow,-97.72625559584101,30.299335539137303
67,Salix nigra,Black willow,-97.6746083522978,30.3138515643397
68,Salix nigra,Black willow,-97.6905614563023,30.276821176114698
69,Salix nigra,Black willow,-97.7244416754731,30.211509894253897
70,Salix nigra,Black willow,-97.72696390078829,30.298261546251503
71,Salix nigra,Black willow,-97.746386882227,30.2416780631153
72,Salix nigra,Black willow,-97.7375080243676,30.262908066631798
73,Salix nigra,Black willow,-97.7374583813462,30.2629279085601
74,Salix nigra,Black willow,-97.7271289299007,30.307528433340302
75,Salix nigra,Black willow,-97.72648156967341,30.2991976674858
76,Salix nigra,Black willow,-97.6746099280227,30.3138553372898
77,Salix nigra,Black willow,-97.7375386215622,30.262882476202996
78,Salix nigra,Black willow,-97.7448342301618,30.244135778772
79,Salix nigra,Black willow,-97.7271616969259,30.298909976855
80,Salix nigra,Black willow,-97.72669026790079,30.298718343763102
81,Salix nigra,Black willow,-97.735559827522,30.2752039106947
82,Salix nigra,Black willow,-97.7501800162456,30.262791476838103
83,Salix nigra,Black willow,-97.7015453121315,30.3613066518961
84,Salix nigra,Black willow,-97.7267497447949,30.298783443945197
85,Salix nigra,Black willow,-97.72642479031391,30.2991359489947
86,Salix nigra,Black willow,-97.7462187772801,30.2417819859729
87,Salix nigra,Black willow,-97.76836748925359,30.213599519417
88,Salix nigra,Black willow,-97.72750546890569,30.2460706175676
89,Salix nigra,Black willow,-97.7491042098923,30.2625083082448
90,Salix nigra,Black willow,-97.7183919310836,30.2508084508186
91,Salix nigra,Black willow,-97.72717924165009,30.307617385405603
92,Salix nigra,Black willow,-97.6746678930412,30.3139076968032
93,Salix nigra,Black willow,-97.6748599775194,30.3140235663815
94,Salix nigra,Black willow,-97.72706607386992,30.298063673053605
95,Salix nigra,Black willow,-97.73556140993,30.2751733867314
96,Salix nigra,Black willow,-97.73847222219999,30.298497222199998
97,Rosmarinus officinalis,Rosemary,-97.75531,30.225979
98,Rosmarinus officinalis,Rosemary,-97.7545549791679,30.275369124471602
99,Rosmarinus officinalis,Rosemary,-97.7468831478462,30.3264314970223
100,Rosmarinus officinalis,Rosemary,-97.7330526709557,30.357496889130303
101,Rosmarinus officinalis,Rosemary,-97.73124399999999,30.322146999999998
102,Rosmarinus officinalis,Rosemary,-97.72415535804441,30.2692668448141
103,Rosmarinus officinalis,Rosemary,-97.73344200000001,30.298646
104,Rosmarinus officinalis,Rosemary,-97.7007830142975,30.354078389464
105,Rosmarinus officinalis,Rosemary,-97.7665413916111,30.287429680768298
106,Rosmarinus officinalis,Rosemary,-97.7389045731205,30.2731400884071
107,Rosmarinus officinalis,Rosemary,-97.7509401,30.283739500000003
108,Rosmarinus officinalis,Rosemary,-97.7358448962952,30.2703260365037
